month,date,sample,Harris result,Trump result
sept,19,1880 LV,0.51,0.45
sept,19,1880 LV,0.53,0.47
sept,17,810 LV,0.49,0.45
sept,17,820 RV,0.49,0.45
sept,17,1445 RV,0.49,0.45
sept,17,1000 LV,0.53,0.47
sept,16,1247 LV,0.50,0.46
sept,16,1306 LV,0.50,0.46
sept,16,1247 LV,0.51,0.49
sept,16,1306 LV,0.51,0.49
sept,16,1505 RV,0.50,0.45
sept,16,1505 RV,0.51,0.49
sept,16,876 LV,0.50,0.48
sept,16,1102 RV,0.50,0.48
sept,16,1707 RV,0.49,0.45
sept,16,2437 LV,0.46,0.46
sept,16,2437 RV,0.45,0.46
sept,16,2437 RV,0.46,0.47
sept,16,2437 LV,0.47,0.47
sept,16,1000 LV,0.43,0.42
sept,15,11022 LV,0.51,0.45
sept,15,1568 LV,0.51,0.43
sept,15,1724 RV,0.48,0.43
sept,15,2027 A,0.45,0.39
sept,13,1283 LV,0.50,0.46
sept,13,1090 LV,0.49,0.45
sept,13,1175 RV,0.48,0.44
sept,13,1090 LV,0.50,0.46
sept,13,1177 RV,0.50,0.45
sept,13,1721 RV,0.45,0.41
sept,13,1721 RV,0.47,0.43
sept,13,2196 LV,0.51,0.46
sept,13,2772 RV,0.50,0.46
sept,13,3276 A,0.51,0.45
sept,13,2196 LV,0.52,0.46
sept,13,2772 RV,0.51,0.47
sept,13,3276 A,0.51,0.46
sept,13,3018 RV,0.50,0.47
sept,13,3018 RV,0.52,0.48
sept,12,1952 LV,0.44,0.42
sept,12,1690 A,0.43,0.39
sept,12,1405 RV,0.47,0.42
sept,12,1775 LV,0.47,0.51
sept,12,1775 LV,0.48,0.51
sept,12,10100 LV,0.50,0.45
sept,12,2756 LV,0.51,0.47
sept,11,719 LV,0.48,0.45
sept,11,1174 LV,0.47,0.44
sept,10,1464 RV,0.45,0.45
sept,9,10884 LV,0.49,0.46
sept,9,1000 LV,0.51,0.49
sept,8,1546 LV,0.49,0.45
sept,8,1722 RV,0.48,0.43
sept,8,2028 A,0.44,0.41
sept,6,10014 LV,0.49,0.46
sept,6,1695 RV,0.44,0.46
sept,6,1695 RV,0.46,0.48
sept,6,1695 LV,0.45,0.47
sept,6,1695 LV,0.47,0.48
sept,5,2358 RV,0.49,0.49
sept,5,2358 RV,0.50,0.50
sept,5,2701 LV,0.50,0.48
sept,5,1413 RV,0.49,0.48
sept,5,1510 LV,0.49,0.47
sept,5,1510 LV,0.46,0.44
sept,5,1890 LV,0.51,0.45
sept,5,1890 LV,0.52,0.48
sept,4,1000 LV,0.51,0.48
sept,4,20762 A,0.39,0.37
sept,4,18123 RV,0.44,0.41
sept,4,1084 RV,0.48,0.47
sept,3,1389 RV,0.47,0.45
sept,3,1003 RV,0.49,0.47
sept,3,11928 LV,0.50,0.46
sept,3,4000 RV,0.48,0.45
sept,3,3047 LV,0.47,0.47
sept,3,3047 LV,0.48,0.47
sept,3,3047 LV,0.50,0.50
sept,2,8044 RV,0.49,0.49
sept,2,1000 LV,0.51,0.49
sept,1,1778 LV,0.47,0.46
sept,1,2000 RV,0.45,0.44
sept,1,1778 LV,0.47,0.49
sept,1,2000 RV,0.47,0.47
aug,31,11495 LV,0.50,0.46
aug,31,4000 RV,0.48,0.45
aug,30,1386 RV,0.47,0.43
aug,30,1386 RV,0.48,0.45
aug,29,2078 LV,0.44,0.42
aug,29,2191 LV,0.50,0.44
aug,29,2191 LV,0.53,0.47
aug,28,2441 LV,0.51,0.48
aug,28,10673 LV,0.49,0.46
aug,28,4000 RV,0.48,0.45
aug,28,1000 LV,0.48,0.43
aug,28,1500 RV,0.48,0.47
aug,28,1500 RV,0.47,0.45
aug,28,1238 LV,0.57,0.39
aug,28,1238 LV,0.51,0.45
aug,28,1511 LV,0.50,0.43
aug,28,1681 RV,0.48,0.42
aug,28,2020 A,0.45,0.39
aug,28,1511 LV,0.48,0.41
aug,28,1681 RV,0.45,0.40
aug,28,2020 A,0.42,0.37
aug,28,4253 A,0.40,0.36
aug,28,3562 RV,0.45,0.41
aug,28,4253 A,0.41,0.38
aug,28,3562 RV,0.44,0.40